"자치구명","생년월일","성별","동일세대_학령기인구수","동일세대_미취학아동수","직업군","평균_문자대상자수","평균_통화대상자수","평균_통화량","세대주여부","1인가구여부","주택보유여부","대출여부","연체여부","사업자여부","동일세대_세대원_수","추정연소득","추정연소득_백분위","총자산평가금액","순자산평가금액","차량보유","총대출약정금액","주택담보대출약정금액","신용대출약정금액","자동차대출약정금액","카드소비금액","신용카드소비금액","체크카드소비금액","일시불이용금액","할부이용금액","현금서비스이용금액","해외카드이용금액","신용카드기관수","체크카드기관수","카드사_최근1년_월평균_이용금액","가맹점합산이용금액","가맹점분류_이용비중1","가맹점분류_이용비중2","가맹점분류_이용비중3","가맹점분류_이용비중4","가맹점분류_이용비중5","가맹점분류_이용비중6","가맹점분류_이용비중7","가맹점분류_이용비중8","가맹점분류_이용비중9","가맹점분류_이용비중10","가맹점분류_이용비중11","가맹점분류_이용비중12","가맹점분류_이용비중13","가맹점분류_이용비중14","가맹점분류_이용비중15","가맹점분류_이용비중16","가맹점분류_이용비중17","가맹점분류_이용비중18","가맹점분류_이용비중19","배달앱_이용금액","제주도지역_이용금액","해외여행_이용금액","마케팅_슈퍼마켓_이용금액","마케팅_편의점_이용금액","마케팅_온라인쇼핑_이용금액","마케팅_소셜커머스_이용금액","온라인_카드사용_금액","온라인_카드사용_건수","오프라인_카드사용_금액","오프라인_카드사용_건수","주중_소비비중","3개월내_승인건수비중1","3개월내_승인건수비중2","3개월내_승인건수비중3","3개월내_승인건수비중4","3개월내_승인건수비중5","12개월내_월별_이용금액_평균","12개월내_월별_이용금액_표준편차","12개월내_월별_이용금액_최대값","12개월내_월별_이용금액_최소값","12개월내_이용금액_비중1","12개월내_이용금액_비중2","12개월내_이용금액_비중3","12개월내_이용금액_비중4","12개월내_이용금액_비중5","12개월내_이용금액_비중6","12개월내_이용금액_비중7","12개월내_이용금액_비중8","12개월내_이용금액_비중9","12개월내_이용금액_비중10","12개월내_이용금액_비중11","12개월내_이용금액_비중12","3개월내_택시_이용건수","3개월내_대중교통_총이용건수","3개월내_대중교통_이용건수1","3개월내_대중교통_이용건수2","3개월내_탑승정류장수","평일_이동_총횟수","휴일_이동_총횟수","평일_총이동거리","평일_이동속도_평균","휴일_총이동거리","휴일_이동속도_평균","택시이용_이동횟수","네비게이션이용_이동횟수","지하철_이동일수"
"강동구",1978,"남",3,0,420,NA,NA,NA,"세대주",0,1,0,0,0,6,59000,10,668310,666380,0,0,0,0,0,7996,7834,162,6296,595,0,87,3,2,1,2834000,0.158095069487475,0,0,0,0.113481455253607,0,0.00309816765512968,0,0,0,0.0137204567584314,0,0,0.00646189253784191,0,0,0.0326635389926529,0.140745330618748,0.531734088696114,130000,0,0,202000,19000,301000,0,1189000,17,2509000,178,0.62,0,0.24,0.02,0.21,0.04,2933000,4450832.85,17593000,80000,0.02,0.01,0.08,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"도봉구",1943,"남",2,0,420,NA,NA,NA,"세대주",0,0,0,0,0,6,26000,64,516280,520590,0,0,0,0,0,1625,130,1495,1278,0,0,0,1,3,1,1726000,0.532911392405063,0,0,0,0.0686708860759494,0.196518987341772,0,0,0,0,0,0,0,0.201898734177215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648000,53,0.84,0.09,0.23,0.18,0.18,0,938000,1017021.09,3789000,168000,0,0,0,0,0,0.11,0,0.04,0,0,0,0.01,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"동작구",1956,"남",2,0,420,NA,NA,NA,"세대주",0,0,1,0,0,6,24000,71,831760,762500,0,27600,0,30000,0,249,131,118,145,0,0,0,2,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343000,190645.85,574000,10000,0.04,0,0.01,0,0,0.28,0,0,0,0,0,0,0,41,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"동대문구",1979,"여",2,0,420,NA,NA,NA,"세대주",0,1,1,0,0,6,46000,18,487500,491610,0,12990,0,5000,0,9078,9078,0,8786,1628,0,273,1,1,4,11210000,0.458368076235855,0,0,0.0306134603930911,0.00405002977963073,0.0868374032162001,0.00214413341274568,0.0627754615842764,0,0.00238237045860631,0.0133412745681954,0.0537224538415724,0.004526503871352,0.0857653365098273,0,0,0,0,0.195473496128648,169000,0,0,0,0,0,0,3840000,116,10300000,315,0.52,0.26,0.1,0.21,0.15,0.01,3714000,1358077.36,5999000,852000,0.01,0,0.24,0,0,0.26,0,0,0.02,0,0.04,0.01,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"서초구",1941,"여",0,0,420,28,6,91,"세대주",0,1,0,0,0,6,30000,51,2956000,2956170,0,0,0,0,0,1347,0,1347,1378,0,0,67,1,1,1,1132000,0.426296170789563,0,0,0,0.182480515079634,0,0,0,0,0,0,0.0325313453066757,0,0.358691968824127,0,0,0,0,0,0,0,0,0,0,0,0,99000,1,1018000,32,0.72,0.41,0.52,0,0.11,0,614000,196372.66,683000,156000,0.05,0,0.23,0,0,0.16,0,0.09,0,0,0,0.03,0,0,0,0,0,20,7,310,31,470,39,0,0,9
"송파구",1997,"남",0,1,420,84,25,320,"세대주",0,0,1,0,0,6,113000,2,1250000,1083430,0,630000,583000,0,0,6514,5796,718,3958,1513,0,93,4,2,5,3704000,0.384929270946681,0.0136017410228509,0,0.036860718171926,0.0829706202393906,0,0.0118335146898803,0,0,0.0491022850924918,0,0,0.00122415669205658,0.0701849836779108,0,0,0.00503264417845484,0,0.344260065288357,0,0,0,0,50000,30000,0,953000,18,2854000,106,0.5,0.07,0.2,0.28,0.25,0.04,4371000,10894564.23,43369000,332000,0,0,0.2,0,0,0.13,0,0,0,0,0.03,0,0,0,0,0,0,110,42,3900,50,1000,50,150,11,120
"서대문구",1945,"여",0,0,910,NA,NA,NA,"세대주",0,1,0,0,0,6,21000,82,1560580,1265160,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,23000,3,0,0,1,1,0,0,0,0,28000,81368.37,242000,22000,0.04,0,0.31,0,0,0.43,0,0,0,0,0,0,0,28,1,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"양천구",1975,"남",1,0,420,NA,NA,NA,"세대주",0,1,0,0,0,6,48000,16,958250,973540,0,0,0,0,0,703,703,0,457,0,0,0,4,2,1,274000,0,0,0,0,0.0807260568426081,0,0,0,0,0,0,0.79611495900008,0,0.107395907969111,0.0157630761882016,0,0,0,0,0,0,0,0,0,0,0,198000,7,282000,6,1,0,0,0.64,0.12,0,275000,150517.28,544000,0,0.08,0,0.01,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"도봉구",1976,"남",2,0,440,NA,NA,NA,"세대주",0,1,0,0,0,6,141000,1,325000,311770,0,0,0,0,0,15544,15233,311,14343,0,0,0,2,3,5,1861000,0.161905904944791,0,0,0,0.0742918867018723,0,0.0200432069131061,0,0,0,0,0.31697071531445,0,0,0,0,0,0.0507681228996639,0.376020163226116,0,0,0,11000,2000,0,0,426000,11,102000,4,0.77,0.08,0.15,0.15,0.25,0.2,11595000,14685711.46,52208000,1346000,0,0,0.13,0,0,0.02,0,0,0,0,0,0,0,7,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강남구",1976,"남",0,0,420,NA,NA,NA,"세대주",0,1,0,0,0,6,74000,5,2100000,1986240,0,0,0,0,0,858,0,858,803,0,0,0,1,3,1,659000,0.364933212294125,0,0,0.0317727921151602,0.560627674750357,0,0,0,0,0,0,0,0,0.0426663208403579,0,0,0,0,0,0,0,0,293000,139000,0,0,960000,20,143000,13,0.57,0.01,0.33,0.28,0.26,0.06,260000,186003.42,597000,94000,0.35,0.08,0.03,0,0,0.03,0,0,0,0,0.51,0,0,248,70,47,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
